vehicle_id,last_updated,previous_stop,next_stop,origin_stop,destination_stop,lat,lon,route
2367,2025-11-13T15:00:33-06:00,Illini Union,Wright and Chalmers,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.1103,-88.22865,ILLINI South
2020,2025-11-13T15:00:42-06:00,First and Daniel,Fourth and Chalmers,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.1079,-88.235517,ILLINI North
2018,2025-11-13T15:00:33-06:00,Pennsylvania Ave. Residence Hall,LAR,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.09955,-88.222833,ILLINI North
2260,2025-11-13T15:00:27-06:00,Illinois Street Residence Hall,Lincoln and Oregon,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.109,-88.219517,ILLINI South
2261,2025-11-13T15:00:30-06:00,Lincoln and Wascher,Lincoln and Church,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.1206,-88.219533,ILLINI South
2022,2025-11-13T15:00:42-06:00,Green and Goodwin,Transit Plaza,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.110467,-88.226467,ILLINI South
2365,2025-11-13T15:00:30-06:00,University and Goodwin,Fairview and Lincoln,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.1164,-88.219733,ILLINI North
2017,2025-11-13T15:00:42-06:00,Gregory at Library,Fourth and Peabody,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.104133,-88.233183,ILLINI North
2367,2025-11-13T15:01:33-06:00,Illini Union,Wright and Chalmers,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.108883,-88.228883,ILLINI South
2020,2025-11-13T15:01:39-06:00,Fourth and Chalmers,Armory and Wright,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.10675,-88.23355,ILLINI North
2018,2025-11-13T15:01:33-06:00,Pennsylvania Ave. Residence Hall,LAR,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.100483,-88.222817,ILLINI North
