vehicle_id,last_updated,previous_stop,next_stop,origin_stop,destination_stop,lat,lon,route
2022,2025-11-13T14:44:33-06:00,University and Goodwin,Fairview and Lincoln,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.116433,-88.220067,ILLINI North
2365,2025-11-13T14:44:39-06:00,First and Stadium,First and Armory,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.1039,-88.238583,ILLINI North
2017,2025-11-13T14:44:36-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099483,-88.2207,ILLINI North
2367,2025-11-13T14:45:33-06:00,Unknown,Lincoln and Kettering Park,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.13235,-88.217817,ILLINI South
2020,2025-11-13T14:45:36-06:00,Lincoln and Illinois,Chemical and Life Sciences,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.109083,-88.222017,ILLINI North
2018,2025-11-13T14:45:27-06:00,Krannert Center,Lincoln and Illinois,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.109017,-88.22195,ILLINI South
2260,2025-11-13T14:45:36-06:00,Fourth and Chalmers,First and Daniel,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.107967,-88.233817,ILLINI South
2261,2025-11-13T14:45:27-06:00,Armory and Wright,Illini Union,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.108467,-88.228833,ILLINI North
2022,2025-11-13T14:45:33-06:00,University and Goodwin,Fairview and Lincoln,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.116433,-88.219617,ILLINI North
2365,2025-11-13T14:45:39-06:00,First and Gregory,First and Daniel,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.105583,-88.238583,ILLINI North
2017,2025-11-13T14:44:36-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099483,-88.2207,ILLINI North
